userId,contId,conTitle,conDescription,conPalabras,conTemplate,temType,temComp,recWritingTips,publiPlatform
69,169,Pre-order Red (Taylor’s Version)!,Pre-order Red (Taylor’s Version) on vinyl and pre-save on all platforms. Out November 19th ❤️❤️❤️❤️ https://t.co/DUXFTPG7Bm @taylorswift13 https://t.co/1A8bz2bhim,16,Album Pre-order Template,Social Media Post,1,Promote pre-orders: 'Secure your copy of Red (Taylor’s Version) now! Pre-order for exclusive bonuses!',Twitter
70,170,Celebrating Collaboration with Taylor Swift!,"The joker and queen featuring @taylorswift13 is out right now. Me and Taylor first met and wrote + recorded our first song together in 2012, ten years ago now, I’m so so honoured to have her on this song.  https://t.co/1WEEHn3okc https://t.co/JPPjvq44F3",30,Collaboration Celebration Template,Social Media Post,1,Celebrate collaboration: 'Experience the magic of The Joker And The Queen featuring @taylorswift13!',Twitter
71,171,Memorable Lyrics from the Past 🧡,"""i can make your tears fall down like the showers that are brittish, whether we're together or apart""",18,Lyrics Appreciation Template,Social Media Post,1,Share nostalgia: 'Reflect on the past with these memorable lyrics 🧡',Twitter
72,172,Celebrating 10 Years of Lego House 🧡,🧡 10 years of Lego House 🧡 https://t.co/lKnJv1FNFN,7,Anniversary Celebration Template,Social Media Post,1,Celebrate milestones: 'Join us in celebrating 10 years of Lego House 🧡',Twitter
73,173,Celebrating 4th Billboard #1!,"My 4th billboard #1 as a writer, thank you @BTS_twt / @bts_bighit and your wonderful fan base for making this happen. Have a great week x Repost @ teddysphotos on Instagram https://t.co/RNf3As2DBU",24,Billboard Achievement Template,Social Media Post,1,Express gratitude: 'Grateful for my 4th Billboard #1! Thank you @BTS_twt and fans for your support!',Twitter
74,174,New Single Release Announcement,Bad Habits. The new single released 25th June Pre-save and pre-add now at https://t.co/QAxqivAEHx #BadHabits https://t.co/QFrq9XCmD3,20,New Release Announcement Template,Social Media Post,1,Create anticipation: 'Exciting news! New single 'Bad Habits' now available for pre-save!',Twitter
75,175,Upcoming Album Release Announcement,"My 4th studio album ‘=‘ comes out October 29th, and is available to preorder today on all platforms, cd, vinyl and cassette. I started writing and recording this album June 2017. Its been a long, long process.",41,Album Release Announcement Template,Social Media Post,1,Share journey: 'Exciting news! My 4th studio album ‘=‘ coming soon. Preorder available now!',Twitter
76,176,#10YearsofPlus Celebration!,#10YearsofPlus https://t.co/mUDWgNCjtI,3,Anniversary Celebration Template,Social Media Post,1,Engage audience: 'Join the celebration of #10YearsofPlus!',Twitter
77,177,Exciting Announcement Tomorrow!,"Announcing something 8am tomorrow U.K. time that is basically the start of the next 3 years of my life, excited to be back at it. Look out for the announcement tomorrow 📸 @ zakarywalters  Repost @ teddysphotos on Instagram https://t.co/t3hpahxG3s",32,Announcement Teaser Template,Social Media Post,1,Create curiosity: 'Big announcement tomorrow at 8am UK time! Stay tuned for exciting news!',Twitter
78,178,Gaming Fun with Pokemon!,Pokemon black for the DS is wicked,9,Gaming Fun Template,Social Media Post,1,Show enthusiasm: 'Having a blast playing Pokemon black for the DS!',Twitter
79,179,Celebrating Collaboration with Taylor Swift!,Name a better duo. We'll wait 🃏👑 @taylorswift13 @taylornation13  https://t.co/1WEEHn3okc https://t.co/zInSn0Znv3,14,Collaboration Celebration Template,Social Media Post,1,Celebrate collaboration: 'The ultimate duo! Celebrating collaboration with Taylor Swift and Taylor Nation!',Twitter
